field0,field1,field2
|file:///home/lina/data/deltas/org.commonjava.aprox/aprox-api/0.14.4_to_0.14.5.delta|,2,12
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.14.0_to_2.14.1.delta|,2,15
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.7.RELEASE_to_4.3.8.RELEASE.delta|,2,23
|file:///home/lina/data/deltas/org.apache.nifi/nifi-utils/1.1.0_to_1.2.0.delta|,2,25
|file:///home/lina/data/deltas/io.vertx/vertx-core/2.0.0-final_to_2.0.1-final.delta|,2,57
|file:///home/lina/data/deltas/org.apache.derby/derby/10.11.1.1_to_10.12.1.1.delta|,2,65
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.12.2_to_2.12.3.delta|,2,73
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.4.1_to_3.4.2.delta|,2,102
|file:///home/lina/data/deltas/org.apache.derby/derby/10.6.2.1_to_10.7.1.1.delta|,2,104
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.9.0_to_4.10.1.delta|,2,108
|file:///home/lina/data/deltas/com.android.tools/sdklib/22.7.2_to_22.8.0.delta|,2,109
|file:///home/lina/data/deltas/org.springframework/spring-core/1.0.1_to_1.1.3.delta|,2,112
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.0_to_2.9.1.delta|,2,150
|file:///home/lina/data/deltas/nz.ac.waikato.cms.weka/weka-dev/3.9.1_to_3.9.2.delta|,2,174
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.2.0_to_2.3.0.delta|,2,204
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.6.1_to_4.7.2.delta|,2,211
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.13.2_to_2.14.0.delta|,2,227
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.12.4_to_2.14.0.delta|,2,259
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.5_to_2.11.1.delta|,2,283
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.4_to_2.11.0.delta|,2,285
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.0-M2_to_2.0-M3.delta|,2,375
|file:///home/lina/data/deltas/org.apache.ant/ant/1.9.12_to_1.10.4.delta|,2,447
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.9.0_to_0.10.0.delta|,2,480
|file:///home/lina/data/deltas/com.google.guava/guava/13.0.1_to_14.0-rc1.delta|,2,992
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.0.0.m5_to_3.0.0.rc1.delta|,2,1013
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.19.3_to_2.20.0.delta|,2,1155
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.19.4_to_2.20.1.delta|,2,1160
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.14.4_to_2.16.1.delta|,2,1239
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.18.5_to_2.20.0.delta|,2,1652
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.6.0_to_2.0-M1.delta|,2,2083
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.10.4_to_5.5.1.delta|,2,2177
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/0.10.1.1_to_0.10.2.0.delta|,2,2385
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.19.5_to_2.21.1.delta|,2,7945
|file:///home/lina/data/deltas/org.apache.camel/camel-http/2.6.0_to_2.8.3.delta|,3,16
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.8.1_to_2.8.2.delta|,3,29
|file:///home/lina/data/deltas/org.apache.camel/camel-xmpp/2.18.1_to_2.21.0.delta|,3,36
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.1.14_to_1.1.19.delta|,3,92
|file:///home/lina/data/deltas/org.apache.derby/derby/10.1.2.1_to_10.1.3.1.delta|,3,128
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.1.0_to_2.2.0.delta|,3,192
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/4.2.0.CR1_to_4.5.0.CR1.delta|,3,218
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.0.5-alpha_to_2.1.0-beta.delta|,3,231
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.7.1_to_2.7.3.delta|,3,396
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.7.5_to_2.8.4.delta|,3,410
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/1.6.0_to_1.7.0.delta|,3,525
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/0.23.11_to_2.4.1.delta|,3,527
|file:///home/lina/data/deltas/net.sourceforge.htmlunit/htmlunit-core-js/2.8_to_2.17.delta|,3,561
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.2.0_to_2.3.0.delta|,3,706
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.13.4_to_2.15.0.delta|,3,709
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.6_to_1.5.1.delta|,3,1161
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.8_to_1.5.6.delta|,3,1171
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.8.2_to_2.9.0-RC1.delta|,3,1189
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.8.3_to_2.9.0.delta|,3,1252
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.6.1_to_2.0-M2.delta|,3,2805
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.13.0-M4_to_2.13.0-M5.delta|,3,3296
|file:///home/lina/data/deltas/org.apache.camel/camel-atom/2.11.0_to_2.12.2.delta|,4,4
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.4.0_to_1.5.0.delta|,4,223
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.13.3_to_2.14.1.delta|,4,227
|file:///home/lina/data/deltas/com.google.guava/guava/14.0-rc1_to_14.0-rc2.delta|,4,259
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.6.0_to_2.7.0.delta|,4,383
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.2_to_2.10.0.delta|,4,735
|file:///home/lina/data/deltas/org.apache.camel/camel-http/2.2.0_to_2.6.0.delta|,5,45
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.0.0-BETA_to_4.0.0.delta|,5,114
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.0.9_to_2.1.1.delta|,5,199
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.0.8_to_2.1.0.delta|,5,204
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.0.10_to_2.1.2.delta|,5,209
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.10.0-M5_to_2.10.0-M6.delta|,5,268
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.4.0_to_2.5.0.delta|,5,294
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.8.4_to_2.9.1.delta|,5,1306
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/1.0.0_to_1.2.0.delta|,5,1868
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.11.2_to_2.12.2.delta|,6,492
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.11.1_to_2.12.1.delta|,6,500
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.11.4_to_2.12.3.delta|,6,511
|file:///home/lina/data/deltas/org.apache.solr/solr-core/5.5.1_to_6.6.0.delta|,6,2618
|file:///home/lina/data/deltas/org.springframework/spring-context-support/2.5.6.SEC03_to_3.1.0.RELEASE.delta|,7,68
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.5.0_to_2.6.0.delta|,7,211
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.3.4_to_2.4.0.delta|,7,247
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.3.5_to_2.4.1.delta|,7,251
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.3.6_to_2.4.2.delta|,7,256
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.3.7_to_2.4.3.delta|,7,281
|file:///home/lina/data/deltas/org.apache.solr/solr-core/7.3.1_to_7.4.0.delta|,7,362
|file:///home/lina/data/deltas/org.apache.hyracks/algebricks-core/0.2.17-incubating_to_0.3.0.delta|,7,474
|file:///home/lina/data/deltas/org.apache.derby/derby/10.9.1.0_to_10.10.1.1.delta|,7,661
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.4.2_to_2.5.1.delta|,7,1448
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.8.6_to_2.9.3.delta|,7,1805
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.8.5_to_2.10.0.delta|,7,1949
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.4.2_to_2.5.1.delta|,7,7713
