field0,field1,field2
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.5_to_1.0.0-M1.delta|,1,482
|file:///home/lina/data/deltas/com.google.guava/guava/24.0-android_to_24.0-jre.delta|,1,495
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.0.2_to_3.1.1.delta|,1,507
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.3.0_to_2.4.0.delta|,1,509
|file:///home/lina/data/deltas/com.google.guava/guava/25.0-android_to_25.0-jre.delta|,1,515
|file:///home/lina/data/deltas/com.google.guava/guava/24.1-android_to_24.1-jre.delta|,1,516
|file:///home/lina/data/deltas/org.ow2.fractal.juliac/juliac-core/2.6_to_2.7.delta|,1,540
|file:///home/lina/data/deltas/com.google.guava/guava/23.6-android_to_23.6-jre.delta|,1,551
|file:///home/lina/data/deltas/com.google.guava/guava/22.0-rc1-android_to_22.0.delta|,1,553
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/7.6.7.v20120910_to_9.0.0.M0.delta|,1,562
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/7.6.13.v20130916_to_9.1.0.M0.delta|,1,567
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.7.v20120910_to_9.0.0.M0.delta|,1,569
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.9.v20130131_to_9.0.0.RC0.delta|,1,569
|file:///home/lina/data/deltas/org.apache.derby/derby/10.8.2.2_to_10.9.1.0.delta|,1,570
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.12.v20130726_to_9.0.5.v20130815.delta|,1,570
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.10.v20130312_to_9.0.1.v20130408.delta|,1,570
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.11.v20130520_to_9.0.4.v20130625.delta|,1,570
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.8.v20121106_to_9.0.0.M3.delta|,1,572
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.14.v20131031_to_9.1.0.RC1.delta|,1,575
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.13.v20130916_to_9.1.0.RC0.delta|,1,575
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.15.v20140411_to_9.1.5.v20140505.delta|,1,588
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.16.v20140903_to_9.2.3.v20140905.delta|,1,590
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.19.v20160209_to_9.2.15.v20160210.delta|,1,594
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.5.2_to_2.19.delta|,1,596
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.0.0.m3_to_3.0.0.m4.delta|,1,609
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.0-m04-2_to_2.0-m05.delta|,1,633
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.17.v20150415_to_9.3.0.RC0.delta|,1,639
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.22.v20160922_to_9.3.13.M0.delta|,1,650
|file:///home/lina/data/deltas/org.gebish/geb-core/0.10.0_to_0.12.0.delta|,1,701
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.8_to_2.4.9-RC1.delta|,1,896
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.10.0-M1_to_2.10.0-M1-virtualized.rdev-4217-2012-01-24-g9118644.delta|,1,937
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.10.0-M4_to_2.10.0-M5.delta|,1,967
|file:///home/lina/data/deltas/com.google.guava/guava/21.0_to_22.0-rc1-android.delta|,1,1090
|file:///home/lina/data/deltas/com.google.guava/guava/24.1-jre_to_25.0-android.delta|,1,1126
|file:///home/lina/data/deltas/com.google.guava/guava/25.0-jre_to_25.1-android.delta|,1,1126
|file:///home/lina/data/deltas/com.google.guava/guava/24.1.1-jre_to_25.1-android.delta|,1,1127
|file:///home/lina/data/deltas/com.google.guava/guava/25.1-jre_to_26.0-android.delta|,1,1165
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.17_to_2.5.0-RC1.delta|,1,1170
|file:///home/lina/data/deltas/org.drools/drools-compiler/5.0.0.M5_to_5.0.1.delta|,1,1497
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.16_to_3.0.5.delta|,1,1604
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.18_to_3.0.7.delta|,1,1608
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.17_to_3.0.6.delta|,1,1617
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.9.1-1_to_2.9.2-RC1.delta|,1,1650
|file:///home/lina/data/deltas/org.http4s/http4s-core_2.11/0.18.0-M4_to_0.18.0-M5.delta|,1,1651
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.6.17_to_3.0.15.delta|,1,1685
|file:///home/lina/data/deltas/org.apache.drill.exec/vector/1.12.0_to_1.13.0.delta|,1,1755
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.2.3_to_3.5.0.delta|,1,2348
