field0,field1,field2
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/1.0.1_to_1.1.0.delta|,2,2606
|file:///home/lina/data/deltas/org.scalatra/scalatra_2.12/2.6.2_to_2.6.3.delta|,3,6
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.7.v20170914_to_9.4.8.v20171121.delta|,3,26
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.7.v20180619_to_9.4.8.v20180619.delta|,3,26
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.23.v20180228_to_9.4.9.v20180320.delta|,3,50
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.0-RC1_to_0.10.0-RC2.delta|,3,51
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.24.v20180605_to_9.4.11.v20180605.delta|,3,72
|file:///home/lina/data/deltas/org.onosproject/onos-incubator-api/1.8.9_to_1.10.6.delta|,3,103
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.22.v20171030_to_9.4.8.v20171121.delta|,3,166
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.24.v20180605_to_9.4.11.v20180605.delta|,3,167
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.23.v20180228_to_9.4.9.v20180320.delta|,3,167
|file:///home/lina/data/deltas/io.dropwizard.metrics/metrics-core/3.2.6_to_4.0.1.delta|,3,238
|file:///home/lina/data/deltas/io.dropwizard.metrics/metrics-core/3.2.5_to_4.0.0-alpha5.delta|,3,241
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.5.2_to_3.6.1.delta|,3,244
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.5.0_to_3.5.1.delta|,3,290
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/0.11.0.1_to_1.0.0.delta|,3,1351
|file:///home/lina/data/deltas/org.scala-js/scalajs-test-interface_2.12.0-M5/0.6.10_to_0.6.11.delta|,4,38
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.12.RELEASE_to_5.0.1.RELEASE.delta|,4,253
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.11.RELEASE_to_5.0.0.RELEASE.delta|,4,253
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.14.RELEASE_to_5.0.3.RELEASE.delta|,4,258
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.17.RELEASE_to_5.0.6.RELEASE.delta|,4,263
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.18.RELEASE_to_5.0.8.RELEASE.delta|,4,264
|file:///home/lina/data/deltas/org.apache.ant/ant/1.10.1_to_1.10.2.delta|,4,348
|file:///home/lina/data/deltas/org.apache.ant/ant/1.9.11_to_1.10.3.delta|,4,370
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.0-M6_to_0.10.0-M7.delta|,4,373
|file:///home/lina/data/deltas/org.apache.ant/ant/1.9.12_to_1.10.4.delta|,4,447
|file:///home/lina/data/deltas/com.twitter/algebird-core_2.12/0.13.0_to_0.13.2.delta|,4,573
|file:///home/lina/data/deltas/org.scala-js/scalajs-library_2.13.0-M1/0.6.18_to_1.0.0-M1.delta|,4,1073
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/0.10.1.1_to_0.10.2.0.delta|,4,2385
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.0.0-milestone5_to_3.0.0-milestone6.delta|,5,44
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.13.0-M1_to_2.13.0-M2.delta|,5,46
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.0.0_to_3.1.0.delta|,5,162
|file:///home/lina/data/deltas/com.google.guava/guava/23.1-android_to_23.1-jre.delta|,5,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.2-android_to_23.2-jre.delta|,5,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.3-android_to_23.3-jre.delta|,5,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.4-android_to_23.4-jre.delta|,5,471
|file:///home/lina/data/deltas/com.google.guava/guava/23.5-android_to_23.5-jre.delta|,5,472
|file:///home/lina/data/deltas/com.google.guava/guava/24.0-android_to_24.0-jre.delta|,5,495
|file:///home/lina/data/deltas/com.google.guava/guava/25.0-android_to_25.0-jre.delta|,5,515
|file:///home/lina/data/deltas/com.google.guava/guava/24.1-android_to_24.1-jre.delta|,5,516
|file:///home/lina/data/deltas/com.google.guava/guava/25.1-android_to_25.1-jre.delta|,5,518
|file:///home/lina/data/deltas/com.google.guava/guava/26.0-android_to_26.0-jre.delta|,5,519
|file:///home/lina/data/deltas/com.google.guava/guava/23.6-android_to_23.6-jre.delta|,5,551
|file:///home/lina/data/deltas/com.google.guava/guava/22.0-rc1-android_to_22.0.delta|,5,553
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.19.RELEASE_to_5.1.0.RELEASE.delta|,5,566
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/0.11.0.2_to_1.0.1.delta|,5,1358
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/1.7.0_to_2.0.0.delta|,5,2776
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/1.1.1_to_2.0.0.delta|,5,4349
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.5.0.Final_to_7.6.0.t022.delta|,6,28
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.5.0.t018_to_7.6.0.t022.delta|,6,31
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.3.2_to_3.3.3.delta|,6,141
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.0-M8_to_0.10.0-M9.delta|,6,528
|file:///home/lina/data/deltas/org.apache.solr/solr-core/5.5.1_to_6.6.0.delta|,6,2618
